Shannon Guesses, Shannon Time, Knuth WC Guesses, Knuth WC Time, Knuth Avg Guesses, Knuth Avg Time
3,2.4397,3,2.3650,3,2.6622
3,2.4615,3,2.4273,3,2.4896
4,2.4478,4,2.4568,4,2.6696
4,2.4470,5,2.5107,4,2.5240
3,2.4032,3,2.3844,3,2.3776
4,2.3868,4,2.4064,4,2.3970
5,2.4876,5,2.4631,5,2.4670
3,2.3615,5,2.4478,4,2.4633
4,2.5303,4,2.6611,4,2.6112
3,2.4356,5,2.4373,3,2.6740
2,2.3905,4,2.4719,3,2.5953
3,2.3768,4,2.3867,3,2.4177
3,2.3782,3,2.4147,3,2.4835
4,2.4745,4,2.4909,6,2.7058
3,2.3916,4,2.3791,3,2.4241
3,2.4281,3,2.4254,4,2.7012
2,2.4002,1,2.4614,4,2.4772
2,2.4233,2,2.4261,4,2.6392
2,2.6075,2,2.5361,3,2.6268
3,2.4872,3,2.5324,3,2.6406
3,2.4926,6,2.5315,3,2.5364
4,2.4935,4,2.5713,4,2.6664
4,2.4881,4,2.4450,5,2.4175
3,2.3854,5,2.4030,3,2.5264
3,2.5241,5,2.5415,4,2.6945
5,2.5032,5,2.5158,4,2.5765
3,2.4465,5,2.5243,4,2.6436
2,2.4332,3,2.4802,3,2.5493
5,2.5080,5,2.5065,7,2.7389
4,2.4768,4,2.4793,4,2.5651
3,2.4131,2,2.3919,5,2.4345
3,2.3958,3,2.3935,4,2.4028
6,2.4941,5,2.4485,6,2.6742
4,2.4358,4,2.4308,6,2.5589
4,2.4401,4,2.4406,4,2.5336
4,2.4000,3,2.4713,3,2.5801
3,2.6456,4,2.5492,4,2.7741
6,2.5423,5,2.5654,7,2.7976
4,2.6092,4,2.6528,6,2.6482
5,2.5409,3,2.4513,3,2.4800
4,2.4844,3,2.6363,3,2.6987
5,2.7333,3,2.6710,4,2.7216
4,2.7269,3,2.6715,3,2.6820
4,2.7335,3,2.6744,3,2.6915
4,2.7337,4,2.7282,5,2.9606
4,2.7229,4,2.7217,5,2.9136
4,2.6726,4,2.6777,3,2.8108
4,2.7564,4,2.7535,4,2.9988
3,2.7114,4,2.6960,5,2.7446
4,2.7278,4,2.7208,5,2.8039
4,2.6653,3,2.6531,6,2.7205
2,2.6612,2,2.6394,2,2.6458
3,2.6679,2,2.6474,4,2.6600
3,2.6595,4,2.6389,4,2.7678
3,2.6710,3,2.6452,3,2.6725
3,2.7454,2,2.6748,3,2.7678
2,2.6440,3,2.6884,4,2.7788
3,2.7004,3,2.7074,4,3.0486
4,2.6958,3,2.6712,4,2.7826
3,2.6528,3,2.6401,3,2.6882
3,2.6873,3,2.6700,3,2.9511
3,2.6365,4,2.6722,3,2.7856
3,2.6374,4,2.6880,3,2.9015
